City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
58,Bowen,AU,2022-10-05 19:24:37,-20.0167,148.2333,72.68,78,34,11.18
59,Ribeira Grande,PT,2022-10-05 19:24:38,38.5167,-28.7,70.2,88,75,10.36
60,Mount Isa,AU,2022-10-05 19:24:39,-20.7333,139.5,67.77,100,60,6.91
61,Upernavik,GL,2022-10-05 19:24:39,72.7868,-56.1549,19.74,78,66,5.01
62,Sassandra,CI,2022-10-05 19:24:40,4.95,-6.0833,75.54,92,21,6.29
63,Maragogi,BR,2022-10-05 19:24:41,-9.0122,-35.2225,80.71,71,17,10.02
64,Lompoc,US,2022-10-05 19:24:41,34.6391,-120.4579,88.02,100,20,3.44
65,Chuy,UY,2022-10-05 19:24:42,-33.6971,-53.4616,65.62,59,81,14.67
66,Amapa,BR,2022-10-05 19:24:43,1.0,-52.0,96.57,31,98,6.06
67,Tilichiki,RU,2022-10-05 19:24:43,60.4667,166.1,32.13,78,2,17.49
68,Sao Filipe,CV,2022-10-05 19:24:44,14.8961,-24.4956,79.9,78,53,5.61
69,Pevek,RU,2022-10-05 19:24:44,69.7008,170.3133,28.62,78,100,10.45
70,Broken Hill,AU,2022-10-05 19:24:45,-31.95,141.4333,62.22,59,0,3.62
71,Peleduy,RU,2022-10-05 19:24:46,59.6289,112.7406,28.6,75,96,7.11
72,Cape Town,ZA,2022-10-05 19:24:46,-33.9258,18.4232,60.89,65,0,7.0
73,Lososina,RU,2022-10-05 19:24:47,48.9975,140.3106,37.08,56,100,13.82
74,Solnechnyy,RU,2022-10-05 19:24:48,50.7214,136.6319,31.06,53,5,8.84
75,Ponyri,RU,2022-10-05 19:24:48,52.3186,36.3039,43.05,92,77,9.89
76,Dunedin,NZ,2022-10-05 19:24:49,-45.8742,170.5036,34.79,91,100,19.08
77,Mayo,US,2022-10-05 19:24:50,38.8876,-76.5119,63.86,85,100,9.22
78,Esperance,AU,2022-10-05 19:24:51,-33.8667,121.9,52.84,73,61,18.99
79,Qaanaaq,GL,2022-10-05 19:24:51,77.484,-69.3632,8.35,74,74,7.56
80,Iqaluit,CA,2022-10-05 19:24:52,63.7506,-68.5145,33.53,100,100,8.05
81,Dikson,RU,2022-10-05 19:24:53,73.5069,80.5464,30.67,73,85,4.81
82,Clarence Town,AU,2022-10-05 19:24:53,-32.5833,151.7833,60.85,95,100,3.71
83,Mecca,SA,2022-10-05 19:21:14,21.4267,39.8261,86.14,38,0,3.53
84,Chandausi,IN,2022-10-05 19:24:54,28.45,78.7667,73.38,90,100,10.51
85,Krasnoshchekovo,RU,2022-10-05 19:24:55,51.6708,82.7289,43.86,51,100,6.46
86,Khatanga,RU,2022-10-05 19:24:56,71.9667,102.5,8.4,99,84,3.83
87,Sitka,US,2022-10-05 19:24:56,57.0531,-135.33,60.69,77,100,17.27
88,Beringovskiy,RU,2022-10-05 19:24:57,63.05,179.3167,44.29,90,100,29.33
89,Kavalerovo,RU,2022-10-05 19:24:58,44.2661,135.0572,29.71,62,48,3.4
90,Maragogipe,BR,2022-10-05 19:24:58,-12.7778,-38.9194,82.35,59,47,10.65
91,Saint-Louis,SN,2022-10-05 19:24:59,16.3333,-15.0,98.24,15,8,6.87
92,Vestmannaeyjar,IS,2022-10-05 19:26:00,63.4427,-20.2734,45.9,70,65,20.36
93,Setermoen,NO,2022-10-05 19:26:00,68.861,18.3486,46.44,92,100,5.99
94,San Patricio,US,2022-10-05 19:26:01,28.017,-97.5169,89.69,35,5,8.01
95,Katsuura,JP,2022-10-05 19:26:02,35.1333,140.3,63.86,87,100,22.97
96,Dwarka,IN,2022-10-05 19:26:03,22.2394,68.9678,81.99,69,3,10.71
97,Lizzano,IT,2022-10-05 19:26:03,40.391,17.4476,64.67,60,95,9.28
98,Liverpool,GB,2022-10-05 19:24:31,53.4106,-2.9779,53.82,85,75,16.11
99,Coihaique,CL,2022-10-05 19:25:02,-45.5752,-72.0662,51.75,54,100,5.75
100,Mount Gambier,AU,2022-10-05 19:26:05,-37.8333,140.7667,57.11,94,100,10.36
101,Geilo,NO,2022-10-05 19:26:06,60.5333,8.2076,45.55,85,100,9.91
102,Malinovskiy,RU,2022-10-05 19:26:07,61.1953,62.8397,44.96,79,99,4.68
103,Aden,YE,2022-10-05 19:26:08,12.7794,45.0367,87.82,67,100,5.7
104,Gold Coast,AU,2022-10-05 19:21:39,-28.0,153.4333,64.0,89,75,5.75
105,Komsomolskiy,UZ,2022-10-05 19:26:09,40.4272,71.7189,56.12,41,100,6.91
106,Saskylakh,RU,2022-10-05 19:26:11,71.9167,114.0833,4.98,98,82,4.56
107,Pisco,PE,2022-10-05 19:24:52,-13.7,-76.2167,66.25,63,0,8.05
108,Tecoanapa,MX,2022-10-05 19:26:12,16.5167,-98.75,84.78,65,9,7.83
109,Les Cayes,HT,2022-10-05 19:26:13,18.2,-73.75,86.83,66,60,7.31
110,Yulara,AU,2022-10-05 19:26:13,-25.2406,130.9889,66.02,30,0,4.76
111,Acapulco,MX,2022-10-05 19:22:50,16.8634,-99.8901,87.62,62,40,4.61
112,Andros Town,BS,2022-10-05 19:22:00,24.7,-77.7667,85.96,67,71,11.07
113,Warah,PK,2022-10-05 19:26:15,27.4481,67.7978,83.5,30,0,9.26
114,Bethal,ZA,2022-10-05 19:26:16,-26.4579,29.4655,67.53,38,0,6.31
115,Ancud,CL,2022-10-05 19:26:17,-41.8697,-73.8203,48.61,92,100,24.43
116,Havoysund,NO,2022-10-05 19:26:17,70.9963,24.6622,44.83,88,100,19.64
117,Yermish,RU,2022-10-05 19:26:18,54.7678,42.2711,47.05,94,66,6.35
118,Parrsboro,CA,2022-10-05 19:26:19,45.4001,-64.332,68.79,63,8,1.01
119,Kuldur,RU,2022-10-05 19:26:20,49.2167,131.6333,27.3,70,77,4.43
120,Grand-Lahou,CI,2022-10-05 19:26:20,5.1367,-5.0242,76.24,90,93,7.65
121,Terrace,CA,2022-10-05 19:26:21,54.5163,-128.6035,55.31,94,100,0.0
122,Joyabaj,GT,2022-10-05 19:26:22,14.995,-90.8061,76.26,54,47,4.88
123,Oeiras,BR,2022-10-05 19:26:23,-7.0253,-42.1311,101.7,15,100,5.26
124,Constantine,DZ,2022-10-05 19:26:23,36.365,6.6147,65.61,82,75,3.44
125,Waingapu,ID,2022-10-05 19:26:24,-9.6567,120.2641,79.77,82,100,5.48
126,New Norfolk,AU,2022-10-05 19:26:25,-42.7826,147.0587,47.91,69,100,5.01
127,Raga,SS,2022-10-05 19:25:22,8.4596,25.678,70.29,92,7,0.72
128,Soyo,AO,2022-10-05 19:26:26,-6.1349,12.3689,75.78,86,59,11.21
129,Makakilo City,US,2022-10-05 19:26:27,21.3469,-158.0858,80.92,67,75,8.05
130,Inta,RU,2022-10-05 19:26:28,66.0317,60.1659,43.56,85,100,8.5
131,Fairbanks,US,2022-10-05 19:26:29,64.8378,-147.7164,45.23,87,100,0.0
132,Narsaq,GL,2022-10-05 19:26:29,60.9167,-46.05,39.42,92,100,11.03
133,Provideniya,RU,2022-10-05 19:26:30,64.3833,-173.3,39.45,96,100,14.38
134,Altay,CN,2022-10-05 19:26:31,47.8667,88.1167,39.38,41,15,2.8
135,Torbay,CA,2022-10-05 19:26:31,47.6666,-52.7314,63.88,49,20,14.97
136,Sorland,NO,2022-10-05 19:26:32,67.667,12.6934,50.68,72,100,28.1
137,Tselinnoye,RU,2022-10-05 19:26:33,53.0833,85.6667,36.7,92,100,9.22
138,Nogales,MX,2022-10-05 19:25:39,31.3086,-110.9422,79.25,38,20,12.66
139,Obo,CF,2022-10-05 19:26:34,5.3998,26.4869,69.24,94,40,3.8
140,Le Locle,CH,2022-10-05 19:27:35,47.0595,6.7523,56.86,50,0,3.44
141,Hearst,CA,2022-10-05 19:27:36,49.6835,-83.6665,59.25,88,100,8.79
142,Prieska,ZA,2022-10-05 19:27:36,-29.6641,22.7474,73.38,6,99,6.93
