City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
304,Waw,SS,70.43,light rain,7.7029,27.9953,Universal Gab Hotel
306,Tarija,BO,58.91,clear sky,-21.5355,-64.7296,Hostal Granny
310,Banda Aceh,ID,77.52,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
311,Menongue,AO,67.26,broken clouds,-14.6585,17.691,Ritz Lauca
312,Wanaka,NZ,53.37,overcast clouds,-44.7,169.15,Wanaka Homestead Lodge and Cottages
313,Ulladulla,AU,59.54,broken clouds,-35.35,150.4667,Sandpiper Motel
314,Mayo,US,62.55,clear sky,38.8876,-76.5119,Resorts Resource Group International
315,Ambulu,ID,77.65,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
316,Saint-Joseph,RE,66.58,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
318,Abu Samrah,SY,66.49,clear sky,35.3029,37.1841,
319,Yanam,IN,75.69,light rain,16.7333,82.2167,The Regency Hotel
322,Pascagoula,US,78.85,clear sky,30.3658,-88.5561,Regency Inn
323,Mumford,GH,76.62,light rain,5.2618,-0.759,Peace Guest House
325,Barcelona,ES,68.77,few clouds,41.3888,2.1590000000000003,Axel Hotel Barcelona
326,Fortuna,US,63.93,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
327,Tiruppuvanam,IN,77.38,mist,9.8333,78.2667,Velammal Lodge
328,Xiaoweizhai,CN,53.24,overcast clouds,26.1903,107.5125,Karst Youth Hostel
330,Mandiana,GN,73.18,light rain,10.6333,-8.6833,Centre d'accueil de Mandiana
331,Urucara,BR,74.1,overcast clouds,-2.5364,-57.76,Pousada Maria Bonita
332,Zeliezovce,SK,54.79,overcast clouds,48.0508,18.6542,Pension Eden
333,Sonthofen,DE,52.88,broken clouds,47.5167,10.2833,AllgäuSternHotel - Sonthofen
335,Tayoltita,MX,75.34,clear sky,24.0833,-105.9333,Hotel La Mina Tayoltita
336,Ngunguru,NZ,62.8,broken clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
337,Portland,US,79.65,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
339,Cururupu,BR,77.5,scattered clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
342,Baillif,GP,78.3,overcast clouds,16.0202,-61.7463,Hôtel Saint-Georges
345,Launceston,AU,59.61,scattered clouds,-41.45,147.1667,Hotel Grand Chancellor Launceston
346,Ruteng,ID,70.23,overcast clouds,-8.6136,120.4721,Hotel FX 72
348,Reconquista,AR,53.01,few clouds,-29.15,-59.65,Grand Hotel
349,Arraias,BR,78.42,few clouds,-12.9288,-46.9437,Hotel Japão
352,Harper,LR,76.17,light rain,4.375,-7.7169,Screensaver
353,Yulara,AU,79.57,broken clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
354,Viseu,PT,59.74,broken clouds,40.661,-7.9097,Montebelo Viseu Congress Hotel
355,Mackay,AU,72.68,broken clouds,-21.15,149.2,International Lodge Motel
356,Corinto,GR,63.9,scattered clouds,37.9407,22.9573,Ephira Hotel
360,Kalmunai,LK,77.0,overcast clouds,7.4167,81.8167,VS Villa
362,Xiashi,CN,59.0,overcast clouds,30.5363,120.6864,皮都锦江大酒店
363,Alexandria,EG,72.68,clear sky,31.2156,29.9553,Royal Crown Hotel
364,Yeppoon,AU,71.38,overcast clouds,-23.1333,150.7333,Villa Mar Colina
369,Swellendam,ZA,73.38,overcast clouds,-34.0226,20.4417,De Kloof Heritage Estate boutique Hotel & SPA
373,Antofagasta,CL,58.28,few clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
374,Along,IN,70.07,overcast clouds,28.1667,94.7667,Hotel West
375,Bembereke,BJ,71.08,few clouds,10.2283,2.6634,Hotel Bio Guera
376,Baturaja,ID,74.79,overcast clouds,-4.1333,104.1667,"HOTEL Sekar Sunja, Baturaja Timur, Ogan Komering Ulu"
377,Paramonga,PE,62.19,few clouds,-10.6667,-77.8333,"Av Douglas Stephen, Los Chalets Paramonga, Lima, Perú"
378,Ada,US,76.35,clear sky,43.4166,-116.1262,
379,Kijang,KR,55.13,clear sky,35.2442,129.2139,Samyang Beach Villa
380,Kuching,MY,75.42,mist,1.55,110.3333,Hilton Kuching
