City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
158,Lavrentiya,RU,65.5833,-171.0,28.76,51,2,7.76,clear sky
159,Waingapu,ID,-9.6567,120.2641,83.64,65,100,4.56,overcast clouds
160,Bien Hoa,VN,10.95,106.8167,76.98,89,98,2.53,overcast clouds
161,Touros,BR,-5.1989,-35.4608,77.9,79,18,17.76,few clouds
162,Anadyr,RU,64.75,177.4833,27.1,68,0,13.42,clear sky
163,Comodoro Rivadavia,AR,-45.8667,-67.5,64.26,27,0,10.36,clear sky
164,Kihei,US,20.785,-156.4656,87.82,78,40,14.97,light rain
165,Sobolevo,RU,54.4299,31.8996,38.48,88,0,2.95,clear sky
166,Hobart,AU,-42.8794,147.3294,60.26,72,75,9.22,broken clouds
167,Lata,PT,40.1629,-8.3327,64.08,93,98,3.02,overcast clouds
168,San Policarpo,PH,12.1791,125.5072,82.63,76,63,5.03,broken clouds
169,Ballingry,GB,56.1639,-3.3284,46.17,91,94,8.01,overcast clouds
170,Puri,IN,19.8,85.85,77.52,78,78,6.76,broken clouds
171,Kaitangata,NZ,-46.2817,169.8464,52.92,56,90,12.24,overcast clouds
172,Pitimbu,BR,-7.4706,-34.8086,79.39,77,20,13.87,few clouds
173,Puerto Ayora,EC,-0.7393,-90.3518,66.54,90,72,5.01,broken clouds
174,Gawler,AU,-34.6,138.7333,67.24,47,90,12.5,overcast clouds
175,Chuy,UY,-33.6971,-53.4616,48.63,75,17,6.78,few clouds
176,Torbay,CA,47.6666,-52.7314,47.26,77,20,12.66,few clouds
177,Dunedin,NZ,-45.8742,170.5036,46.8,89,99,13.0,overcast clouds
178,Samur,RU,41.8253,48.486,64.83,70,41,5.35,scattered clouds
179,Zaysan,KZ,47.4667,84.8667,37.44,72,11,6.8,few clouds
180,Mandalgovi,MN,45.7625,106.2708,35.74,26,48,3.22,scattered clouds
181,Severo-Kurilsk,RU,50.6789,156.125,46.78,85,100,17.25,light rain
182,Bulgan,MN,48.8125,103.5347,36.32,60,100,2.48,overcast clouds
183,Kaeo,NZ,-35.1,173.7833,69.33,69,92,5.73,overcast clouds
184,Zhigansk,RU,66.7697,123.3711,14.56,94,55,6.22,broken clouds
185,Bud,US,39.447,-86.1758,69.78,59,4,7.05,clear sky
186,Maldonado,UY,-34.6667,-54.9167,51.22,85,18,6.87,few clouds
187,Malakal,SS,9.5334,31.6605,69.08,92,21,0.43,moderate rain
188,Qaqortoq,GL,60.7167,-46.0333,35.87,96,100,11.1,light rain
189,Natal,BR,-5.795,-35.2094,77.65,78,40,13.8,scattered clouds
190,Tasiilaq,GL,65.6145,-37.6368,33.96,98,100,20.38,snow
191,Cherskiy,RU,68.75,161.3,18.9,94,96,14.9,overcast clouds
192,Bowen,AU,-20.0167,148.2333,77.25,70,91,16.6,overcast clouds
193,Carnarvon,AU,-24.8667,113.6333,63.9,59,87,22.93,overcast clouds
194,Goderich,CA,43.7501,-81.7165,51.91,76,24,2.3,few clouds
195,Evansville,US,37.9748,-87.5558,73.22,42,0,4.61,clear sky
196,Saskylakh,RU,71.9167,114.0833,9.57,95,27,8.95,scattered clouds
197,Ribeira Grande,PT,38.5167,-28.7,69.78,86,17,4.0,few clouds
198,Fort Nelson,CA,58.8053,-122.7002,54.99,28,75,25.32,broken clouds
199,Redlands,US,34.0556,-117.1825,87.24,44,40,9.22,haze
